published_at,source,category,title,content,tags,url
05/31/2026 00:00,vnexpress.net,thoi-su,Đồng Nai xây mới 43 km đường nối xây bay Long Thành,"Đường 770B rộng 6-8 làn xe, tổng vốn đầu tư khoảng 4.600 tỷ đồng, kết nối sân bay Long Thành với các khu công nghiệp và tuyến giao thông trọng điểm.","",https://vnexpress.net/dong-nai-xay-moi-43-km-duong-noi-xay-bay-long-thanh-5079985.html
05/31/2026 00:00,vnexpress.net,thoi-su,Hiện trạng hơn 7 km đường ven sông Sài Gòn sắp mở rộng 6 làn,"Khoảng 7,4 km đường ven sông qua Bình Dương cũ sẽ được mở rộng với tổng vốn 9.400 tỷ đồng, hình thành trục giao thông lớn song song quốc lộ 13, góp phần giảm ùn tắc khu vực.","",https://vnexpress.net/hien-trang-hon-7-km-duong-ven-song-sai-gon-sap-mo-rong-6-lan-5079258.html
05/31/2026 08:00,vnexpress.net,the-gioi,Bà Ngô Phương Ly thăm lớp tiếng Việt tại Singapore,"Bà Ngô Phương Ly, phu nhân Tổng Bí thư, Chủ tịch nước, thăm lớp tiếng Việt Lạc Hồng ở Singapore, đánh giá đây là cách để gìn giữ bản sắc văn hóa và tiếng mẹ đẻ.","",https://vnexpress.net/ba-ngo-phuong-ly-tham-lop-tieng-viet-tai-singapore-5080197.html
05/31/2026 06:46,vnexpress.net,the-gioi,Iran nói Mỹ đồng ý 'rã băng' 12 tỷ USD trong dự thảo thỏa thuận,Truyền hình nhà nước Iran đưa tin dự thảo thỏa thuận với Mỹ bao gồm điều khoản Washington giải phóng 12 tỷ USD tài sản đóng băng cho Tehran.,"",https://vnexpress.net/iran-noi-my-dong-y-ra-bang-12-ty-usd-trong-du-thao-thoa-thuan-5080193.html
05/31/2026 05:00,vnexpress.net,the-gioi,Mạng lưới UAV giúp Ukraine cầm chân Nga,"Tấn công sâu, phá hậu cần và giám sát chiến trường, UAV đang trở thành trụ cột trong chiến lược phòng thủ của Ukraine và giúp cản đà tiến quân của Nga.","",https://vnexpress.net/mang-luoi-uav-giup-ukraine-cam-chan-nga-5079935.html
05/31/2026 01:00,vnexpress.net,the-gioi,Hoài nghi với tương lai đội chiến hạm 60 tỷ USD của Mỹ,"Lực lượng tàu chiến đấu ven biển Mỹ, vốn bị chê là nhiều lỗi và lãng phí, đối mặt tương lai bất định sau khi biên chế chiếc cuối cùng.","",https://vnexpress.net/hoai-nghi-voi-tuong-lai-doi-chien-ham-60-ty-usd-cua-my-5079324.html
05/31/2026 00:45,vnexpress.net,the-gioi,Việt Nam - Singapore là đối tác đi đầu ASEAN về hợp tác trong lĩnh vực mũi nhọn,"Lãnh đạo Việt Nam và Singapore đánh giá hai nước là đối tác đi đầu ASEAN về hợp tác trong các lĩnh vực mũi nhọn như chuyển đổi số, khoa học công nghệ, trung tâm tài chính.","",https://vnexpress.net/viet-nam-singapore-la-doi-tac-di-dau-asean-ve-hop-tac-trong-linh-vuc-mui-nhon-5080166.html
05/31/2026 07:09,vnexpress.net,kinh-doanh,Các công ty chứng khoán thu kỷ lục từ cho vay,Không phải ngân hàng nhưng các công ty chứng khoán liên tục mở rộng mảng cho vay và ghi nhận doanh thu kỷ lục hơn 11.200 tỷ đồng trong quý I.,"",https://vnexpress.net/cac-cong-ty-chung-khoan-thu-ky-luc-tu-cho-vay-5079977.html
05/31/2026 06:51,vnexpress.net,kinh-doanh,Ngân hàng không phải tính dư nợ tăng thêm với nhà xã hội,"Khi cho vay nhóm nhà ở xã hội, khu công nghiệp và khu chế xuất, 25 ngân hàng thương mại sẽ không phải tính phần dư nợ tín dụng tăng thêm.","",https://vnexpress.net/ngan-hang-khong-phai-tinh-du-no-tang-them-voi-nha-xa-hoi-5080188.html
05/31/2026 06:33,vnexpress.net,kinh-doanh,Biển Chết đang chết dần vì biến đổi khí hậu,"Từng hút khách một thời, resort bên bờ Biển Chết nay hoang tàn bên những hố sụt khổng lồ, còn bờ biển cứ rút mãi xa khi vùng nước này mất một phần ba diện tích.","",https://vnexpress.net/bien-chet-dang-chet-dan-vi-bien-doi-khi-hau-5080070.html
