published_at,source,category,title,content,tags,url
05/31/2026 08:00,dantri.com.vn,thoi-su,Mở ra chương mới cho quan hệ Đối tác Chiến lược Việt Nam - Philippines,"(Dân trí) - Chuyến thăm Philippines của Tổng Bí thư, Chủ tịch nước Tô Lâm sẽ mở ra chương mới thực chất và hiệu quả hơn cho quan hệ hai nước, đồng thời tạo xung lực mạnh mẽ để nâng tầm hợp tác song phương.",Chính trị,https://dantri.com.vn/thoi-su/mo-ra-chuong-moi-cho-quan-he-doi-tac-chien-luoc-viet-nam-philippines-20260531073851083.htm
05/31/2026 06:53,dantri.com.vn,thoi-su,"Hướng dẫn mới của Ban Bí thư về kết nạp đảng viên, thẩm tra lý lịch","(Dân trí) - Ban Bí thư ban hành hướng dẫn mới với những quy định chặt chẽ, cụ thể hơn trong việc thẩm tra lý lịch của người vào Đảng cũng như trách nhiệm của các tổ chức đảng có liên quan.",Chính trị,https://dantri.com.vn/thoi-su/huong-dan-moi-cua-ban-bi-thu-ve-ket-nap-dang-vien-tham-tra-ly-lich-20260530175450580.htm
05/31/2026 06:25,dantri.com.vn,thoi-su,Gìn giữ và thúc đẩy giao lưu văn hóa Việt Nam - Singapore,"Phu nhân Ngô Phương Ly tới thăm lớp tiếng Việt Lạc Hồng; cùng Phu nhân Thủ tướng Singapore thăm Temasek Shophouse, một trung tâm tạo tác động xã hội của Singapore; gặp Phu nhân Tổng thống Singapore.",Chính trị,https://dantri.com.vn/thoi-su/gin-giu-va-thuc-day-giao-luu-van-hoa-viet-nam-singapore-20260531062512005.htm
05/31/2026 06:13,dantri.com.vn,thoi-su,Lãnh đạo Việt Nam - Singapore khẳng định quan hệ hình mẫu hợp tác trong ASEAN,"Trong khuôn khổ chuyến thăm Singapore, Tổng Bí thư, Chủ tịch nước Tô Lâm đã gặp và trao đổi với Bộ trưởng cao cấp, Cố vấn cấp cao của Đảng Hành động Nhân dân Singapore, nguyên Thủ tướng Lý Hiển Long.",Chính trị,https://dantri.com.vn/thoi-su/lanh-dao-viet-nam-singapore-khang-dinh-quan-he-hinh-mau-hop-tac-trong-asean-20260531061318044.htm
05/31/2026 06:06,dantri.com.vn,thoi-su,TPHCM và Nam Bộ tiếp tục có mưa lớn,(Dân trí) - TPHCM và Nam Bộ tiếp tục có mưa vừa đến mưa rất to trong vài ngày tới. Mưa lớn kéo dài có thể gây ngập úng cục bộ tại nhiều khu vực trũng thấp.,Thời tiết,https://dantri.com.vn/thoi-tiet/tphcm-va-nam-bo-tiep-tuc-co-mua-lon-20260530202250614.htm
05/31/2026 06:01,dantri.com.vn,thoi-su,"Dòng suối dưới chân Bạch Mã hoang tàn vì dự án nghìn tỷ \"đắp chiếu\" kéo dài","(Dân trí) - Từ khi được cấp chủ trương đến nay đã 9 năm trôi qua, khu du lịch suối Voi (thành phố Huế) có vốn đầu tư hàng nghìn tỷ đồng vẫn chưa thành hình, chỉ là những công trình dang dở dưới chân núi Bạch Mã.",Thời sự,https://dantri.com.vn/thoi-su/dong-suoi-duoi-chan-bach-ma-hoang-tan-vi-du-an-nghin-ty-dap-chieu-keo-dai-20260530183158198.htm
05/31/2026 05:57,dantri.com.vn,thoi-su,Những người ăn ngủ cùng rừng giữa cao điểm nắng nóng,"(Dân trí) - Giữa thời tiết nắng nóng hơn 40 độ C, lực lượng kiểm lâm Khu bảo tồn thiên nhiên Pù Huống vẫn ngày đêm bám rừng, căng mình tuần tra, ngăn nguy cơ cháy giữa đại ngàn miền Tây Nghệ An.",Thời sự,https://dantri.com.vn/thoi-su/nhung-nguoi-an-ngu-cung-rung-giua-cao-diem-nang-nong-20260529145834453.htm
05/31/2026 00:00,dantri.com.vn,thoi-su,Nắng nóng ở miền Bắc tăng mạnh trở lại,"(Dân trí) - Dự báo khoảng ngày 3-5/6, Bắc Bộ có khả năng xảy ra nắng nóng diện rộng, nhiệt độ tăng mạnh.",Thời tiết,https://dantri.com.vn/thoi-tiet/nang-nong-o-mien-bac-tang-manh-tro-lai-20260530214956759.htm
05/31/2026 08:10,dantri.com.vn,phap-luat,Bé gái có thai với đối tượng quen qua mạng xã hội,"(Dân trí) - Một bé gái ở Quảng Ninh có thai với đối tượng quen qua mạng xã hội. Sau đó, đối tượng này đã bị công an khởi tố, bắt tạm giam. Công an Quảng Ninh đưa ra cảnh báo chung về vấn đề này.",Pháp luật,https://dantri.com.vn/phap-luat/be-gai-co-thai-voi-doi-tuong-quen-qua-mang-xa-hoi-20260531072537006.htm
05/31/2026 08:05,dantri.com.vn,phap-luat,Tìm xe máy liên quan vụ tai nạn khiến một phụ nữ tử vong trên quốc lộ 5,(Dân trí) - Công an phường Ái Quốc (Hải Phòng) đang truy tìm một xe máy liên quan vụ tai nạn trên quốc lộ 5 tối 28/5. Vụ việc khiến một phụ nữ tử vong tại hiện trường.,Pháp luật,https://dantri.com.vn/phap-luat/tim-xe-may-lien-quan-vu-tai-nan-khien-mot-phu-nu-tu-vong-tren-quoc-lo-5-20260531071302762.htm
